filename,category,wikimedia_url,page_title,license,author,description,download_date,file_size,width,height
"Albumblad_met_vier_foto's_Linksboven_de_'Dorja'_van_de_Swayambunathtempel_in_K,_Bestanddeelnr_37_12.jpg",Buddhist_temples_in_Nepal,https://upload.wikimedia.org/wikipedia/commons/4/48/Albumblad_met_vier_foto%27s_Linksboven_de_%27Dorja%27_van_de_Swayambunathtempel_in_K%2C_Bestanddeelnr_37_12.jpg,"File:Albumblad met vier foto's Linksboven de 'Dorja' van de Swayambunathtempel in K, Bestanddeelnr 37 12.jpg",CC0,"Visser, Philips Christiaan",,2026-02-26T14:47:34.804583,6370274,7008,5124
2015-03-16_Bougainvillaea_in_Lumbini（Sri_Lanka_temple）ルンビニ・スリランカ寺_DSCF1316.jpg,Buddhist_temples_in_Nepal,https://upload.wikimedia.org/wikipedia/commons/a/a6/2015-03-16_Bougainvillaea_in_Lumbini%EF%BC%88Sri_Lanka_temple%EF%BC%89%E3%83%AB%E3%83%B3%E3%83%93%E3%83%8B%E3%83%BB%E3%82%B9%E3%83%AA%E3%83%A9%E3%83%B3%E3%82%AB%E5%AF%BA_DSCF1316.jpg,File:2015-03-16 Bougainvillaea in Lumbini（Sri Lanka temple）ルンビニ・スリランカ寺 DSCF1316.jpg,CC BY-SA 4.0,松岡明芳,,2026-02-26T14:47:36.635918,826864,2304,1536
2015-03-16_Bougainvillaea_in_Lumbini（Sri_Lanka_temple）ルンビニ・スリランカ寺_DSCF1318.jpg,Buddhist_temples_in_Nepal,https://upload.wikimedia.org/wikipedia/commons/3/3c/2015-03-16_Bougainvillaea_in_Lumbini%EF%BC%88Sri_Lanka_temple%EF%BC%89%E3%83%AB%E3%83%B3%E3%83%93%E3%83%8B%E3%83%BB%E3%82%B9%E3%83%AA%E3%83%A9%E3%83%B3%E3%82%AB%E5%AF%BA_DSCF1318.jpg,File:2015-03-16 Bougainvillaea in Lumbini（Sri Lanka temple）ルンビニ・スリランカ寺 DSCF1318.jpg,CC BY-SA 4.0,松岡明芳,,2026-02-26T14:47:38.376141,854182,2304,1536
2015-03-16_Lumbini（Cambodian_Monastery）ルンビニ・カンボジア寺_DSCF1438.jpg,Buddhist_temples_in_Nepal,https://upload.wikimedia.org/wikipedia/commons/a/ad/2015-03-16_Lumbini%EF%BC%88Cambodian_Monastery%EF%BC%89%E3%83%AB%E3%83%B3%E3%83%93%E3%83%8B%E3%83%BB%E3%82%AB%E3%83%B3%E3%83%9C%E3%82%B8%E3%82%A2%E5%AF%BA_DSCF1438.jpg,File:2015-03-16 Lumbini（Cambodian Monastery）ルンビニ・カンボジア寺 DSCF1438.jpg,CC BY-SA 4.0,松岡明芳,,2026-02-26T14:47:40.477648,850415,2304,1536
2015-03-16_Lumbini（Cambodian_Monastery）ルンビニ・カンボジア寺_DSCF1445.jpg,Buddhist_temples_in_Nepal,https://upload.wikimedia.org/wikipedia/commons/1/16/2015-03-16_Lumbini%EF%BC%88Cambodian_Monastery%EF%BC%89%E3%83%AB%E3%83%B3%E3%83%93%E3%83%8B%E3%83%BB%E3%82%AB%E3%83%B3%E3%83%9C%E3%82%B8%E3%82%A2%E5%AF%BA_DSCF1445.jpg,File:2015-03-16 Lumbini（Cambodian Monastery）ルンビニ・カンボジア寺 DSCF1445.jpg,CC BY-SA 4.0,松岡明芳,,2026-02-26T14:47:42.376015,887822,2304,1536
2015-03-16_Lumbini（Cambodian_Monastery）ルンビニ・カンボジア寺_DSCF1450.jpg,Buddhist_temples_in_Nepal,https://upload.wikimedia.org/wikipedia/commons/3/3f/2015-03-16_Lumbini%EF%BC%88Cambodian_Monastery%EF%BC%89%E3%83%AB%E3%83%B3%E3%83%93%E3%83%8B%E3%83%BB%E3%82%AB%E3%83%B3%E3%83%9C%E3%82%B8%E3%82%A2%E5%AF%BA_DSCF1450.jpg,File:2015-03-16 Lumbini（Cambodian Monastery）ルンビニ・カンボジア寺 DSCF1450.jpg,CC BY-SA 4.0,松岡明芳,,2026-02-26T14:48:52.869977,845023,2304,1536
2015-03-16_Lumbini（Cambodian_Monastery）ルンビニ・カンボジア寺_DSCF1455.jpg,Buddhist_temples_in_Nepal,https://upload.wikimedia.org/wikipedia/commons/e/e3/2015-03-16_Lumbini%EF%BC%88Cambodian_Monastery%EF%BC%89%E3%83%AB%E3%83%B3%E3%83%93%E3%83%8B%E3%83%BB%E3%82%AB%E3%83%B3%E3%83%9C%E3%82%B8%E3%82%A2%E5%AF%BA_DSCF1455.jpg,File:2015-03-16 Lumbini（Cambodian Monastery）ルンビニ・カンボジア寺 DSCF1455.jpg,CC BY-SA 4.0,松岡明芳,,2026-02-26T14:48:55.358673,818941,2304,1536
2015-03-16_Lumbini（Cambodian_Monastery）ルンビニ・カンボジア寺_DSCF1457.jpg,Buddhist_temples_in_Nepal,https://upload.wikimedia.org/wikipedia/commons/3/3b/2015-03-16_Lumbini%EF%BC%88Cambodian_Monastery%EF%BC%89%E3%83%AB%E3%83%B3%E3%83%93%E3%83%8B%E3%83%BB%E3%82%AB%E3%83%B3%E3%83%9C%E3%82%B8%E3%82%A2%E5%AF%BA_DSCF1457.jpg,File:2015-03-16 Lumbini（Cambodian Monastery）ルンビニ・カンボジア寺 DSCF1457.jpg,CC BY-SA 4.0,松岡明芳,,2026-02-26T14:48:57.987869,869151,2304,1536
"A_Buddhist_temple_on_a_mountain,_seen_from_the_route_of_Everest_Base_camp_trek_in_Nepal,_photographed_on_November_26,_2023.jpg",Buddhist_temples_in_Nepal,https://upload.wikimedia.org/wikipedia/commons/e/ea/A_Buddhist_temple_on_a_mountain%2C_seen_from_the_route_of_Everest_Base_camp_trek_in_Nepal%2C_photographed_on_November_26%2C_2023.jpg,"File:A Buddhist temple on a mountain, seen from the route of Everest Base camp trek in Nepal, photographed on November 26, 2023.jpg",CC0,Billjones94,"A Buddhist temple on a mountain, seen from the route of Everest Base camp trek in Nepal, photographed on November 26, 2023.",2026-02-26T14:49:02.706579,4538716,2252,2809
Bagmati_and_its_heritage.png,Buddhist_temples_in_Nepal,https://upload.wikimedia.org/wikipedia/commons/3/35/Bagmati_and_its_heritage.png,File:Bagmati and its heritage.png,CC BY-SA 4.0,Ashma Silwal,Bagmati river and its heritage,2026-02-26T14:50:13.917073,5351934,1385,2505
