filename,monument_id,monument_name,image_caption,image_type,monument_description,monument_type,religion,deity,roof_type,num_struts,strut_iconography,brick_type,num_doors,num_storeys,num_windows,door_peculiarities,monument_shape,object_id,object_type,object_material,object_position,latitude,longitude,download_date,source_url
Jogeśvara_Mandira_before_608_CE_exterior.jpg,0077a8d9-2e9d-4626-8dd0-04272b780ea9,Jogeśvara Mandira (before 608 CE),"Jogeśvara Mandira, view from W",exterior,Both the Vajrayoginī and Jogeśvara temples are believed to be built on a single rock without a proper foundation.,"Monastic building (bāhāḥ),Tiered temple",Buddhist,Svayambhū Caitya,Hip roof,32,,"māaḥpāḥ (traditional brick),dāciaḥpā (veneer brick)",4,3,,,Square,,,,,,,2026-03-14T10:42:31.374573,https://danam.cats.uni-heidelberg.de/resources/0077a8d9-2e9d-4626-8dd0-04272b780ea9
Jogeśvara_Mandira_before_608_CE_obj_Toraṇa_(tympanu.jpg,0077a8d9-2e9d-4626-8dd0-04272b780ea9,Jogeśvara Mandira (before 608 CE),"Jogeśvara Mandira, gilt door and toraṇa , view from W",object,Both the Vajrayoginī and Jogeśvara temples are believed to be built on a single rock without a proper foundation.,"Monastic building (bāhāḥ),Tiered temple",Buddhist,Svayambhū Caitya,Hip roof,32,,"māaḥpāḥ (traditional brick),dāciaḥpā (veneer brick)",4,3,,,Square,SKH0510-002,Toraṇa (tympanum),"Wood,Gold,Copper",Attached,,,2026-03-14T10:42:31.374573,https://danam.cats.uni-heidelberg.de/resources/0077a8d9-2e9d-4626-8dd0-04272b780ea9
Narayana_Mandira_exterior.jpg,008d3c7c-7cde-4a0b-b917-9124111b7552,Nārāyaṇa Mandira,"Nārāyaṇa Mandira, view from N",exterior,"The Nārāyaṇa temple at Dhālāchẽ Ṭola, Lalitpur, was originally constructed in the medieval period in the multi-tiered pagoda style.",Bell-shaped (temple/shrine),Vaishnava,Viṣṇu,Dome roof,0,,,1,1,,,Square,,,,,,,2026-03-14T10:42:38.075458,https://danam.cats.uni-heidelberg.de/resources/008d3c7c-7cde-4a0b-b917-9124111b7552
Narayana_Mandira_obj_Statue.jpg,008d3c7c-7cde-4a0b-b917-9124111b7552,Nārāyaṇa Mandira,"Nārāyaṇa Mandira, Viṣṇu, view from NW",object,"The Nārāyaṇa temple at Dhālāchẽ Ṭola, Lalitpur, was originally constructed in the medieval period in the multi-tiered pagoda style.",Bell-shaped (temple/shrine),Vaishnava,Viṣṇu,Dome roof,0,,,1,1,,,Square,LAL2200-001,Statue,Stone,Inside the monument,,,2026-03-14T10:42:38.075458,https://danam.cats.uni-heidelberg.de/resources/008d3c7c-7cde-4a0b-b917-9124111b7552
Rasipatan_temple_and_stone_memorial_pillar_exterior.jpg,00b7965f-0803-49e0-989f-62e679535c0c,Rasipatan temple and stone memorial pillar,"Rasipatan temple and stone memorial pillar, view from north-east",exterior,"The temple and the pillar are located on the right banks of the Sinja River, by the ghāṭa , south of Ludku village.","Pillar,Shrine",Hindu,,Dome roof,,,stone,1,0,,,Square,,,,,,,2026-03-14T10:42:43.808539,https://danam.cats.uni-heidelberg.de/resources/00b7965f-0803-49e0-989f-62e679535c0c
Rasipatan_temple_and_stone_memorial_pillar_obj_Pillar.jpg,00b7965f-0803-49e0-989f-62e679535c0c,Rasipatan temple and stone memorial pillar,"Rasipatan temple and stone memorial pillar, pillar 001, view from south",object,"The temple and the pillar are located on the right banks of the Sinja River, by the ghāṭa , south of Ludku village.","Pillar,Shrine",Hindu,,Dome roof,,,stone,1,0,,,Square,JUM0530-001,Pillar,Stone,Attached,,,2026-03-14T10:42:43.808539,https://danam.cats.uni-heidelberg.de/resources/00b7965f-0803-49e0-989f-62e679535c0c
Jayabali_Dyaḥ_exterior.jpg,00bc99b7-02d7-48d4-948b-5d0ef1f84146,Jayabali Dyaḥ,"Jayabali Dyaḥ, view from E",exterior,"Jayabali Dyaḥ is a pīṭha (abode) of Goddess Rudrāyaṇī, one of the Eight Mother Goddesses ( aṣṭamātṛkā ) whose shrines date back to the foundation of Sankhu in in 1300 BC (Kaligata Era 1801).",Shrine,Shakta,Rudrāyaṇī,,,,dāciaḥpā (veneer brick),,0,,,Square,,,,,,,2026-03-14T10:42:49.385579,https://danam.cats.uni-heidelberg.de/resources/00bc99b7-02d7-48d4-948b-5d0ef1f84146
Jayabali_Dyaḥ_obj_Statue.jpg,00bc99b7-02d7-48d4-948b-5d0ef1f84146,Jayabali Dyaḥ,"Jayabali Dyaḥ, lion (A), view from NE",object,"Jayabali Dyaḥ is a pīṭha (abode) of Goddess Rudrāyaṇī, one of the Eight Mother Goddesses ( aṣṭamātṛkā ) whose shrines date back to the foundation of Sankhu in in 1300 BC (Kaligata Era 1801).",Shrine,Shakta,Rudrāyaṇī,,,,dāciaḥpā (veneer brick),,0,,,Square,SKH0230-002,Statue,Stone,Inside the monument,,,2026-03-14T10:42:49.385579,https://danam.cats.uni-heidelberg.de/resources/00bc99b7-02d7-48d4-948b-5d0ef1f84146
Bistabara_Stone_Memorial_Pillar_erected_in_1500_CE_exterior.jpg,00c84501-dc97-43c8-b6b5-8b0e9735b8dd,Bistabara Stone Memorial Pillar (erected in 1500 CE),"Bistabara Stone Memorial Pillar, view from east",exterior,"Bistabara Stone Memorial Pillar, dated ŚS 1422 (1500 CE), is located five meters north of a complex of three śikhara temples ( JUM0450 , JUM0451 and JUM0452 ) beneath the village of Bistabara.",Pillar,,,,,,,,0,,,,,,,,,,2026-03-14T10:42:54.411065,https://danam.cats.uni-heidelberg.de/resources/00c84501-dc97-43c8-b6b5-8b0e9735b8dd
Siṃhapū_Satah_original_construction_in_the_1780s_exterior.jpg,00cf6d20-71a7-4382-9746-ac988a0bd323,Siṃhapū Sataḥ (original construction in the 1780s),"Siṃhapū Sataḥ, the plint, and the corner column, view from SE",exterior,"Situated next to the steps that lead towards the Vajrayoginī Mandira ( SKH0500 ), Siṃhapū Sataḥ opens up to the east, with five wood-carved bays on the front side and three bays facing south.",Sataḥ ,Vaishnava,Viṣṇu and Lakṣmīnārāyaṇa,Hip roof,38,,"māaḥpāḥ (traditional brick),dāciaḥpā (veneer brick)",1,3,,"<p>3 bay 1</p>

<p>1 Lattice window&nbsp;</p>

<p>2 Normal wimdow</p>
",Rectangular,,,,,,,2026-03-14T10:42:59.235878,https://danam.cats.uni-heidelberg.de/resources/00cf6d20-71a7-4382-9746-ac988a0bd323
